"統計名：","令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）"
"表番号：","1-1-1"
"表題：","[総人口・総世帯数・男女・年齢・配偶関係] 男女別人口－全国，都道府県，市区町村（2000年（平成12年）市区町村含む）"
"実施年月：","2020年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","","","/表章事項 コード","2020_01","2020_01","2020_01"
"","","","","","","/表章事項 補助コード","-","-","-"
"","","","","","","/表章事項","人口【人】","人口【人】","人口【人】"
"","","","","","","/男女 コード","0","1","2"
"","","","","","","/男女 補助コード","-","-","-"
"時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む） コード","全国，都道府県，市区町村（2000年市区町村含む） 補助コード","全国，都道府県，市区町村（2000年市区町村含む）","/男女","総数","男","女"
"2020000000","","2020年","02383","","（旧：中里町）","","7250","3313","3937"
"2020000000","","2020年","02386","","（旧：小泊村）","","2407","1119","1288"
"2020000000","","2020年","02401","","野辺地町","","12374","5776","6598"
"2020000000","","2020年","02402","","七戸町","","14556","6964","7592"
"2020000000","","2020年","0240B","","（旧：七戸町）","","8166","3886","4280"
"2020000000","","2020年","02409","","（旧：天間林村）","","6390","3078","3312"
"2020000000","","2020年","02405","","六戸町","","10447","5084","5363"
"2020000000","","2020年","02406","","横浜町","","4229","2071","2158"
"2020000000","","2020年","02408","","東北町","","16428","7846","8582"
"2020000000","","2020年","02407","","（旧：上北町）","","8368","3985","4383"
"2020000000","","2020年","0240C","","（旧：東北町）","","8060","3861","4199"
"2020000000","","2020年","02411","","六ヶ所村","","10367","5910","4457"
"2020000000","","2020年","02412","","おいらせ町","","24273","11627","12646"
"2020000000","","2020年","02403","","（旧：百石町）","","8548","4070","4478"
"2020000000","","2020年","02410","","（旧：下田町）","","15725","7557","8168"
"2020000000","","2020年","02423","","大間町","","4718","2375","2343"
"2020000000","","2020年","02424","","東通村","","5955","3162","2793"
"2020000000","","2020年","02425","","風間浦村","","1636","779","857"
"2020000000","","2020年","02426","","佐井村","","1788","883","905"
"2020000000","","2020年","02441","","三戸町","","9082","4288","4794"
"2020000000","","2020年","02442","","五戸町","","16042","7676","8366"
"2020000000","","2020年","0244B","","（旧：五戸町）","","13459","6468","6991"
"2020000000","","2020年","02449","","（旧：倉石村）","","2583","1208","1375"
"2020000000","","2020年","02443","","田子町","","4968","2376","2592"
"2020000000","","2020年","02445","","南部町","","16809","7884","8925"
"2020000000","","2020年","02444","","（旧：名川町）","","6761","3204","3557"
